ID,유형,Method/Op,Path/Topic,Handler,Service/UseCase,입력,출력,Auth/AuthZ,상태변경,부수효과,멱등성,트랜잭션,테스트,근거
E076,HTTP,GET,/api/v1/healthz,app.get (index.js:85),root,query/header,JSON ApiResponse/Response,public,아니오/읽기,none observed/static,읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/index.js | app.get | line 85]
E138,HTTP,GET,/health,app.get (index.js:91),root,query/header,JSON ApiResponse/Response,public,아니오/읽기,none observed/static,읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/index.js | app.get | line 91]
E118,HTTP,GET,/api/v1/readiness,app.get (index.js:97),root,query/header,JSON ApiResponse/Response,public,아니오/읽기,none observed/static,읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/index.js | app.get | line 97]
E139,HTTP,USE,/metrics,metricsRouter (index.js:115),metrics,auth-context,JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/index.js | metricsRouter | line 115]
E092,HTTP,GET,/api/v1/notifications/stream,router.get (notifications.js:127),notifications,"query/header,auth-context",SSE/stream Response,backend-key+user,아니오/읽기,"D1 notifications, SSE",읽기 멱등,없음,backend/test/notifications.service.test.js 일부,[근거: backend/src/routes/notifications.js | router.get | line 127]
E093,HTTP,GET,/api/v1/notifications/unread,router.get (notifications.js:152),notifications,"query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,"D1 notifications, SSE",읽기 멱등,없음,backend/test/notifications.service.test.js 일부,[근거: backend/src/routes/notifications.js | router.get | line 152]
E091,HTTP,GET,/api/v1/notifications/history,router.get (notifications.js:181),notifications,"query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,"D1 notifications, SSE",읽기 멱등,없음,backend/test/notifications.service.test.js 일부,[근거: backend/src/routes/notifications.js | router.get | line 181]
E089,HTTP,PATCH,/api/v1/notifications/:notificationId/read,router.patch (notifications.js:210),notifications,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,"D1 notifications, SSE",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,backend/test/notifications.service.test.js 일부,[근거: backend/src/routes/notifications.js | router.patch | line 210]
E090,HTTP,GET,/api/v1/notifications/health,router.get (notifications.js:305),notifications,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"D1 notifications, SSE",읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/routes/notifications.js | router.get | line 305]
E044,HTTP,GET,/api/v1/ai/models,router.get (ai.js:135),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,미확인,[근거: backend/src/routes/ai.js | router.get | line 135]
E036,HTTP,POST,/api/v1/ai/auto-chat,router.post (ai.js:264),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 264]
E043,HTTP,GET,/api/v1/ai/health,router.get (ai.js:336),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/routes/ai.js | router.get | line 336]
E049,HTTP,GET,/api/v1/ai/status,router.get (ai.js:357),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,미확인,[근거: backend/src/routes/ai.js | router.get | line 357]
